Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,,,,02 41 02 40 02 00 00,3201,
,-98.63ms,Serial1,10FFD438,Data,8,02 02 02 02 02 02 02 00,67FE,
,-95.63ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-95.34ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-95.05ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-94.77ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-94.48ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 00 B8,5905,
,-94.20ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-93.05ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-90.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-88.20ms,Serial1,30C,Data,8,80 00 00 00 00 00 07 AC,1660,
,-85.14ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-82.88ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-80.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-75.63ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-75.33ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-75.04ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-74.76ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-74.47ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 01 B9,58BA,
,-74.19ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-73.06ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-70.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-65.14ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-62.73ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-60.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-55.62ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-55.33ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-55.04ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-54.76ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-54.47ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 02 BA,5A7B,
,-54.19ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-53.06ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-50.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-45.14ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-42.76ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-40.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-35.57ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-35.27ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-34.98ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-34.70ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-34.41ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 03 BB,5BC4,
,-34.13ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-33.84ms,Serial1,18FFE5F4,Data,8,16 00 00 00 00 00 00 00,49D5,
,-33.54ms,Serial1,18FF28F4,Data,8,00 01 05 D3 0C 80 60 00,7410,
,-33.24ms,Serial1,18FE28F4,Data,8,00 07 90 0C FB 0C BF 00,2724,
,-32.97ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-32.68ms,Serial1,10FFD4F4,Data,8,00 60 05 D3 00 00 00 00,55AC,
,-30.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-29.58ms,Serial1,1801D08F,Data,8,00 8B 00 57 43 00 00 56,08A1,
,-25.34ms,Serial1,1CFFD4F5,Data,8,00 5A 00 00 00 00 00 00,09DD,
,-25.05ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-23.98ms,Serial1,18FFF5D4,Data,8,00 FF 00 00 FF FF FF 00,025A,
,-22.94ms,Serial1,18FFD0F4,Data,8,FF 00 00 00 00 00 00 00,4A78,
,-22.64ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-22.36ms,Serial1,1CFF50F4,Data,8,01 31 46 2D 4A 45 00 00,6886,
,-22.07ms,Serial1,18FFEFF4,Data,8,00 07 E8 96 00 00 00 00,68CD,
,-20.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-15.62ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,-15.33ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,-15.04ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,-14.76ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,-14.47ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 04 BC,5FF9,
,-14.19ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-13.06ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,-12.77ms,Serial1,18FF38F4,Data,8,00 60 4A 45 07 90 00 00,494F,
,-10.12ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,-5.133ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,-2.765ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,-121.6us,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,3.773ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,4.061ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,4.867ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,5.155ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,5.437ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,5.725ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 05 BD,5E46,
,6.941ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,9.875ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,11.77ms,Serial1,30C,Data,8,80 00 00 00 00 00 08 0F,4A50,
,14.87ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,17.36ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,19.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,24.44ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,24.73ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,25.02ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,25.30ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,25.59ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 06 BE,5C87,
,25.88ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,26.94ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,29.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,34.87ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,37.30ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,39.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,44.38ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,44.67ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,44.96ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,45.24ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,45.53ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 07 BF,5D38,
,45.81ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,46.97ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,47.93ms,Serial1,18FF28EF,Data,8,30 00 00 00 00 00 00 00,4B36,
,48.93ms,Serial1,18FF1EEF,Data,8,08 00 00 00 00 00 00 00,4AA6,
,49.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,50.16ms,Serial1,18FFD0EF,Data,8,00 00 00 00 00 00 00 00,1309,
,50.93ms,Serial1,18FF95EF,Data,8,00 00 00 00 00 00 00 00,64F8,
,51.93ms,Serial1,10FF38EF,Data,8,00 02 00 00 00 00 00 00,5531,
,54.87ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,57.24ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,59.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,64.37ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,64.66ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,64.95ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,65.24ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,65.52ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 08 C0,5181,
,65.81ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,66.94ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,67.23ms,Serial1,18FF28F4,Data,8,00 01 05 D3 0C 86 60 00,1AC3,
,69.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,70.42ms,Serial1,1801D08F,Data,8,00 8B 00 57 43 00 00 56,08A1,
,74.77ms,Serial1,10FF38D4,Data,8,02 02 02 02 02 02 02 42,7C34,
,75.06ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,75.35ms,Serial1,1CFFD4F5,Data,8,00 5A 00 00 00 00 00 00,09DD,
,76.85ms,Serial1,18FFF5D4,Data,8,00 FF 00 00 FF FF FF 00,025A,
,77.14ms,Serial1,18FFEFF4,Data,8,00 07 E8 96 00 00 00 00,68CD,
,77.44ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,79.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,84.43ms,Serial1,18FF2895,Data,8,00 56 00 00 00 00 2B 34,4147,
,84.73ms,Serial1,18FE2895,Data,8,01 00 00 00 00 00 00 00,0AAD,
,85.02ms,Serial1,000001F2,Data,8,0E 50 0D B8 0D 48 0C C1,4167,
,85.30ms,Serial1,18FD50A7,Data,8,80 00 80 00 80 00 80 00,3A6D,
,85.59ms,Serial1,18FF28A7,Data,8,80 00 00 00 30 08 09 C1,503E,
,85.88ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,86.94ms,Serial1,18FFA7EF,Data,8,00 00 07 D0 07 D0 00 00,2B9E,
,88.45ms,Serial1,18FF28D0,Data,8,06 00 00 00 00 00 00 00,1DB2,
,89.88ms,Serial1,18FE50A7,Data,8,40 02 41 02 40 02 00 00,3201,
,94.87ms,Serial1,18FFEFA7,Data,8,00 07 D0 07 D0 00 00 00,6523,
,97.44ms,Serial1,18FF9528,Data,8,00 02 B3 B4 00 00 03 00,70D8,
,99.89ms,Serial1,18FE50A7,Data,8,40,,
