CAN_ID,Priority,TX_Ingress_NS,RX_Egress_NS,E2E_Latency_US
0x18fe50a7,2,1785199187400124885,1785199187400541155,416
0x18ffd0f4,2,1785199187403104700,1785199187403378126,273
0x1cff50f4,2,1785199187403474031,1785199187403763403,289
0x18ffeff4,2,1785199187403840418,1785199187404126531,286
0x18ff9528,2,1785199187404706320,1785199187404993547,287
0x18ffefa7,2,1785199187405770702,1785199187406118580,347
0x1f2,1,1785199187406135941,1785199187406402912,266
0x18fd50a7,2,1785199187406400254,1785199187406749078,348
0x18ff28a7,2,1785199187406564753,1785199187406894725,329
0x18ff2895,2,1785199187407028473,1785199187407386687,358
0x18fe2895,2,1785199187407393045,1785199187407759370,366
0x18fe50a7,2,1785199187410857931,1785199187411129525,271
0x18ff38f4,2,1785199187413823321,1785199187414132070,308
0x18ffefa7,2,1785199187415987845,1785199187416262970,275
0xc7fd3,2,1785199187418453626,1785199187418742165,288
0x18fe50a7,2,1785199187421118018,1785199187421387953,269
0x18ff9528,2,1785199187424782792,1785199187425134791,351
0x18ffefa7,2,1785199187426247505,1785199187426520416,272
0x1f2,1,1785199187426911631,1785199187427270173,358
0x18fd50a7,2,1785199187427175963,1785199187427495728,319
0x18ff28a7,2,1785199187427339517,1785199187427500468,160
0x18ff2895,2,1785199187427802959,1785199187428134559,331
0x18fe2895,2,1785199187428166420,1785199187428504335,337
0x18fe50a7,2,1785199187431630899,1785199187431909212,278
0x18ffefa7,2,1785199187436697794,1785199187437010546,312
0x10fff4d4,2,1785199187437263087,1785199187437529082,265
0xc7fd3,2,1785199187439428741,1785199187439746333,317
0x18fff5d4,2,1785199187439593703,1785199187439892018,298
0x18fe50a7,2,1785199187441958170,1785199187442255565,297
0x18ff9528,2,1785199187445622852,1785199187445920589,297
0x18ffefa7,2,1785199187447087917,1785199187447387806,299
0x1f2,1,1785199187447752876,1785199187448022101,269
0x18fd50a7,2,1785199187448017096,1785199187448370025,352
0x18ff28a7,2,1785199187448181892,1785199187448506154,324
0x18ff2895,2,1785199187449246293,1785199187449514966,268
0xc7f14,2,1785199187449711012,1785199187450009279,298
0xc00e8,2,1785199187451775981,1785199187452142957,366
0x18fe50a7,2,1785199187452540328,1785199187452892861,352
0x18ffefa7,2,1785199187457605113,1785199187457878677,273
0x1cffd4f5,2,1785199187460070283,1785199187460385872,315
0x18ffa7ef,2,1785199187460434874,1785199187460761852,326
0x1cfed4f5,2,1785199187460451725,1785199187460766538,314
0xc7f94,2,1785199187461210184,1785199187461504554,294
0x18ff1eef,2,1785199187462275177,1785199187462635513,360
0xc7f28,2,1785199187462939488,1785199187463269696,330
0x18ff9528,2,1785199187466604170,1785199187466870924,266
0x18ffefa7,2,1785199187468068754,1785199187468397511,328
0x1f2,1,1785199187468633472,1785199187468915676,282
0xc7ea8,2,1785199187468997285,1785199187469293138,295
0x18ff28a7,2,1785199187469014415,1785199187469297897,283
0x18ff2895,2,1785199187470172574,1785199187470498522,325
0x18fe2895,2,1785199187470537276,1785199187470876743,339
0x18fe50a7,2,1785199187473401814,1785199187473759363,357
0x18ffefa7,2,1785199187478466524,1785199187478746882,280
0x30c,1,1785199187480130977,1785199187480416654,285
0x18ffa7ef,2,1785199187480996083,1785199187481281466,285
0xc7f28,2,1785199187483660845,1785199187484019346,358
0x18ff9528,2,1785199187487425711,1785199187487747888,322
0x18ffefa7,2,1785199187488990350,1785199187489263012,272
0x0,0,1785199187489155553,1785199187489524789,369
0x18fd50a7,2,1785199187489420218,1785199187489754918,334
0x18ff28a7,2,1785199187489784549,1785199187490130269,345
0x18ff2895,2,1785199187491248892,1785199187491543745,294
0x18fe2895,2,1785199187491266188,1785199187491548467,282
0x18fe50a7,2,1785199187494123986,1785199187494395569,271
0x18ff28f4,2,1785199187497088301,1785199187497392651,304
0x18ffefa7,2,1785199187499253473,1785199187499518866,265
0x18ffa7ef,2,1785199187501717977,1785199187502003505,285
0xc7f28,2,1785199187504382665,1785199187504653866,271
0x18ffeff4,2,1785199187507346943,1785199187507623578,276
0x18ff9528,2,1785199187508110883,1785199187508401835,290
0x18ffefa7,2,1785199187509575467,1785199187509873070,297
0x1f2,1,1785199187509839947,1785199187510130940,290
0xc7ea8,2,1785199187510304481,1785199187510649512,345
0x18ff28a7,2,1785199187510569553,1785199187510881474,311
0x18ff2895,2,1785199187511133346,1785199187511400991,267
0x18fe2895,2,1785199187511497900,1785199187511775027,277
0x18fe50a7,2,1785199187514962638,1785199187515261977,299
0x18ffefa7,2,1785199187520027700,1785199187520390941,363
0x18ffa7ef,2,1785199187522492148,1785199187522783266,291
0x18fe50a7,2,1785199187525156373,1785199187525515534,359
0x18ff9528,2,1785199187528820851,1785199187529151040,330
0x10ffd438,2,1785199187529184886,1785199187529520372,335
0x18ffefa7,2,1785199187530349786,1785199187530624035,274
0x1f2,1,1785199187530914005,1785199187531258644,344
