CAN_ID,Priority,Ingress_NS,Egress_NS,Latency_US
0x98fe50a7,2,1785200320774745321,1785200320774753729,8
0x98ffd0f4,2,1785200320777727543,1785200320777730284,2
0x9cff50f4,2,1785200320778097763,1785200320778099985,2
0x98ffeff4,2,1785200320778464668,1785200320778466668,2
0x98ff9528,2,1785200320779330070,1785200320779331996,1
0x98ffefa7,2,1785200320780394230,1785200320780396248,2
0x800001f2,2,1785200320780758579,1785200320780760690,2
0x98fd50a7,2,1785200320781023022,1785200320781025077,2
0x98ff28a7,2,1785200320781187169,1785200320781189169,2
0x98ff2895,2,1785200320781650629,1785200320781652573,1
0x98fe2895,2,1785200320781991256,1785200320781993405,2
0x98fe50a7,2,1785200320785455623,1785200320785457660,2
0x98ff38f4,2,1785200320788420271,1785200320788422289,2
0x98ffefa7,2,1785200320790585276,1785200320790587276,2
0x800c7fd3,2,1785200320793049741,1785200320793051741,2
0x98fe50a7,2,1785200320795716169,1785200320795718206,2
0x98ff9528,2,1785200320799381664,1785200320799383849,2
0x98ffefa7,2,1785200320800845525,1785200320800847599,2
0x800001f2,2,1785200320801509632,1785200320801511650,2
0x98fd50a7,2,1785200320801773167,1785200320801775352,2
0x98ff28a7,2,1785200320801936777,1785200320801938851,2
0x98ff2895,2,1785200320802402367,1785200320802404422,2
0x98fe2895,2,1785200320802766938,1785200320802769012,2
0x98fe50a7,2,1785200320806231713,1785200320806233861,2
0x98ffefa7,2,1785200320811296458,1785200320811298643,2
0x90fff4d4,2,1785200320811861528,1785200320811863584,2
0x800c7fd3,2,1785200320814026441,1785200320814028570,2
0x98fff5d4,2,1785200320814190254,1785200320814192328,2
0x98fe50a7,2,1785200320816554424,1785200320816556517,2
0x98ff9528,2,1785200320820219531,1785200320820221531,2
0x98ffefa7,2,1785200320821684114,1785200320821686151,2
0x800001f2,2,1785200320822348591,1785200320822350647,2
0x98fd50a7,2,1785200320822612478,1785200320822614608,2
0x98ff28a7,2,1785200320822775977,1785200320822778070,2
0x98ff2895,2,1785200320823839785,1785200320823841785,2
0x800c7f14,2,1785200320824303560,1785200320824305578,2
0x800c00e8,2,1785200320826368491,1785200320826370528,2
0x98fe50a7,2,1785200320827133412,1785200320827135597,2
0x98ffefa7,2,1785200320832197713,1785200320832199769,2
0x9cffd4f5,2,1785200320834662809,1785200320834664809,2
0x98ffa7ef,2,1785200320835027640,1785200320835029695,2
0x9cfed4f5,2,1785200320835045751,1785200320835047751,2
0x800c7f94,2,1785200320835802449,1785200320835804431,1
0x98ff1eef,2,1785200320836867017,1785200320836869072,2
0x800c7f28,2,1785200320837531161,1785200320837533142,1
0x98ff9528,2,1785200320841195952,1785200320841198008,2
0x98ffefa7,2,1785200320842661498,1785200320842663739,2
0x800001f2,2,1785200320843226402,1785200320843228513,2
0x800c7ea8,2,1785200320843590733,1785200320843592733,2
0x98ff28a7,2,1785200320843608511,1785200320843610566,2
0x98ff2895,2,1785200320844765781,1785200320844767800,2
0x98fe2895,2,1785200320845130297,1785200320845132408,2
0x98fe50a7,2,1785200320848004279,1785200320848007297,3
0x98ffefa7,2,1785200320853071024,1785200320853073061,2
0x8000030c,2,1785200320854736254,1785200320854738421,2
0x98ffa7ef,2,1785200320855599952,1785200320855601990,2
0x800c7f28,2,1785200320858264602,1785200320858266732,2
0x98ff9528,2,1785200320862029615,1785200320862031874,2
0x98ffefa7,2,1785200320863593698,1785200320863595901,2
0x80000000,2,1785200320863758530,1785200320863760604,2
0x98fd50a7,2,1785200320864022380,1785200320864024454,2
0x98ff28a7,2,1785200320864385822,1785200320864387804,1
0x98ff2895,2,1785200320865849850,1785200320865851850,2
0x98fe2895,2,1785200320865867424,1785200320865869313,1
0x98fe50a7,2,1785200320868725683,1785200320868727720,2
0x98ff28f4,2,1785200320871691072,1785200320871693053,1
0x98ffefa7,2,1785200320873855206,1785200320873857206,2
0x98ffa7ef,2,1785200320876319376,1785200320876321301,1
0x800c7f28,2,1785200320878984044,1785200320878985933,1
0x98ffeff4,2,1785200320881948488,1785200320881950432,1
0x98ff9528,2,1785200320882712557,1785200320882714520,1
0x98ffefa7,2,1785200320884176659,1785200320884178566,1
0x800001f2,2,1785200320884440453,1785200320884442379,1
0x800c7ea8,2,1785200320884904173,1785200320884906228,2
0x98ff28a7,2,1785200320885168023,1785200320885170097,2
0x98ff2895,2,1785200320885731593,1785200320885733501,1
0x98fe2895,2,1785200320886096424,1785200320886098480,2
0x98fe50a7,2,1785200320889560698,1785200320889562791,2
0x98ffefa7,2,1785200320894625481,1785200320894627536,2
0x98ffa7ef,2,1785200320897090002,1785200320897091983,1
0x98fe50a7,2,1785200320899754874,1785200320899756855,1
0x98ff9528,2,1785200320903419887,1785200320903421850,1
0x90ffd438,2,1785200320903784089,1785200320903786107,2
0x98ffefa7,2,1785200320904948267,1785200320904950192,1
0x800001f2,2,1785200320905512430,1785200320905514319,1
0x800c7ea8,2,1785200320905676521,1785200320905678466,1
0x98ff28a7,2,1785200320905940482,1785200320905942427,1
0x800c7f94,2,1785200320906504942,1785200320906506923,1
0x800c7f14,2,1785200320906868717,1785200320906870791,2
0x98fe50a7,2,1785200320910333695,1785200320910335732,2
0x90ff38d4,2,1785200320915198238,1785200320915200238,2
0x98ffefa7,2,1785200320915462459,1785200320915464403,1
0x98fff5d4,2,1785200320917125837,1785200320917128022,2
0x98ffa7ef,2,1785200320917980980,1785200320917983146,2
0x98fe50a7,2,1785200320920645444,1785200320920647500,2
0x98ff9528,2,1785200320924410050,1785200320924412012,1
0x98ffefa7,2,1785200320925979632,1785200320925981947,2
0x80000000,2,1785200320926145020,1785200320926147001,1
0x98fd50a7,2,1785200320926409592,1785200320926411574,1
0x98ff28a7,2,1785200320926773831,1785200320926775775,1
0x98ff2895,2,1785200320928238636,1785200320928240544,1
0x98fe2895,2,1785200320928256543,1785200320928258488,1
0x9801d08f,2,1785200320930313660,1785200320930315641,1
0x98fe50a7,2,1785200320931177006,1785200320931178951,1
0x98ffefa7,2,1785200320936241548,1785200320936243492,1
0x98ffa7ef,2,1785200320938706014,1785200320938707940,1
0x9cffd4f5,2,1785200320939069845,1785200320939071956,2
0x98ffd0ef,2,1785200320939833414,1785200320939835340,1
0x98ff95ef,2,1785200320940897592,1785200320940899500,1
0x98fe50a7,2,1785200320941561162,1785200320941563181,2
0x90ff38ef,2,1785200320941981437,1785200320941983530,2
0x98ff9528,2,1785200320945345953,1785200320945347916,1
0x98ffefa7,2,1785200320946910183,1785200320946912313,2
0x800001f2,2,1785200320947073979,1785200320947075979,2
0x98fd50a7,2,1785200320947337644,1785200320947339644,2
0x98ff28a7,2,1785200320947700604,1785200320947702512,1
0x98ff2895,2,1785200320948864060,1785200320948865949,1
0x800c7f14,2,1785200320949328131,1785200320949330112,1
0x98fe50a7,2,1785200320952092780,1785200320952094761,1
0x98ffefa7,2,1785200320957158618,1785200320957160581,1
0x98ff28d0,2,1785200320958223333,1785200320958225426,2
0x8000030c,2,1785200320959087809,1785200320959089735,1
0x98ffa7ef,2,1785200320959752138,1785200320959754046,1
0x98fe50a7,2,1785200320962417195,1785200320962419251,2
0x98ff9528,2,1785200320966181764,1785200320966184079,2
0x98ffefa7,2,1785200320967746624,1785200320967748735,2
0x800001f2,2,1785200320967910845,1785200320967912938,2
0x98fd50a7,2,1785200320968174992,1785200320968177010,2
0x98ff28a7,2,1785200320968539749,1785200320968541712,1
0x98ff2895,2,1785200320969703834,1785200320969705797,1
0x98fe2895,2,1785200320970068887,1785200320970070961,2
0x98fe50a7,2,1785200320972932665,1785200320972934628,1
0x98ffe5f4,2,1785200320975897831,1785200320975899757,1
0x98ff28f4,2,1785200320976262533,1785200320976264514,1
0x98ffefa7,2,1785200320978127002,1785200320978129188,2
0x98ffa7ef,2,1785200320980590709,1785200320980592635,1
0x98fe50a7,2,1785200320983255358,1785200320983257303,1
0x98ffeff4,2,1785200320986220747,1785200320986222821,2
0x98ff9528,2,1785200320987084686,1785200320987086649,1
0x98ffefa7,2,1785200320988648639,1785200320988650713,2
0x800001f2,2,1785200320988812212,1785200320988814193,1
0x98fd50a7,2,1785200320989076451,1785200320989078414,1
0x98ff28a7,2,1785200320989439930,1785200320989441912,1
0x800c7f94,2,1785200320990904735,1785200320990906865,2
0x800c7f14,2,1785200320990923161,1785200320990925069,1
0x98fe50a7,2,1785200320993779273,1785200320993781199,1
0x98ffefa7,2,1785200320998843870,1785200320998845851,1
0x98ffa7ef,2,1785200321001308002,1785200321001309928,1
0x98fe50a7,2,1785200321003972541,1785200321003974467,1
0x98ff9528,2,1785200321007839053,1785200321007841294,2
0x98ffefa7,2,1785200321009303136,1785200321009305062,1
0x80000000,2,1785200321009467746,1785200321009469746,2
0x98fd50a7,2,1785200321009731504,1785200321009733523,2
0x98ff28a7,2,1785200321010096502,1785200321010098631,2
0x98ff2895,2,1785200321010660850,1785200321010662794,1
0x98fe2895,2,1785200321011024811,1785200321011026736,1
0x98fe50a7,2,1785200321014490159,1785200321014492196,2
0x98ffefa7,2,1785200321019555108,1785200321019557145,2
0x9cff50d4,2,1785200321020018549,1785200321020020568,2
0x98ffa7ef,2,1785200321022083203,1785200321022085147,1
0x98fff5d4,2,1785200321022347534,1785200321022349534,2
0x98fe50a7,2,1785200321024811778,1785200321024813704,1
0x98ff9528,2,1785200321028576624,1785200321028578587,1
0x98ffefa7,2,1785200321030141355,1785200321030143559,2
0x80000000,2,1785200321030306039,1785200321030308058,2
0x98fd50a7,2,1785200321030570426,1785200321030572408,1
0x98ff28a7,2,1785200321030934646,1785200321030936554,1
0x98ff2895,2,1785200321032198749,1785200321032200638,1
0x98fe2895,2,1785200321032463248,1785200321032465229,1
0x9801d08f,2,1785200321034527549,1785200321034529512,1
0x98fe50a7,2,1785200321035391636,1785200321035393562,1
0x98ffefa7,2,1785200321040456789,1785200321040458863,2
0x98ffa7ef,2,1785200321042921570,1785200321042923514,1
0x9cffd4f5,2,1785200321044185673,1785200321044187617,1
0x98ff28ef,2,1785200321044203469,1785200321044205395,1
0x800c7f8f,2,1785200321045059667,1785200321045061556,1
0x98fe50a7,2,1785200321045723607,1785200321045725570,1
0x98ff9528,2,1785200321049787952,1785200321049789896,1
0x98ffefa7,2,1785200321051052629,1785200321051054610,1
0x800001f2,2,1785200321051216720,1785200321051218665,1
0x98fd50a7,2,1785200321051480070,1785200321051481996,1
0x98ff28a7,2,1785200321051843513,1785200321051845420,1
0x98ff2895,2,1785200321053107245,1785200321053109116,1
0x98fe2895,2,1785200321053370706,1785200321053372688,1
0x98fe50a7,2,1785200321056235281,1785200321056237262,1
0x98ffefa7,2,1785200321061300137,1785200321061302082,1
0x8000030c,2,1785200321062965238,1785200321062967367,2
0x98ffa7ef,2,1785200321063829454,1785200321063831380,1
0x98fe50a7,2,1785200321066494011,1785200321066496048,2
0x98ff9528,2,1785200321070259654,1785200321070261876,2
0x800c7ff7,2,1785200321071825126,1785200321071827218,2
0x800001f2,2,1785200321072189475,1785200321072191475,2
0x98fd50a7,2,1785200321072553713,1785200321072555676,1
0x98ff28a7,2,1785200321072571139,1785200321072573121,1
0x98ff2895,2,1785200321073728039,1785200321073730021,1
0x98fe2895,2,1785200321074092704,1785200321074094722,2
0x98fe50a7,2,1785200321076956537,1785200321076958445,1
0x98ff28f4,2,1785200321079921407,1785200321079923407,2
0x90ffd4f4,2,1785200321080286183,1785200321080288294,2
0x98ffefa7,2,1785200321082150671,1785200321082152874,2
0x98ffa7ef,2,1785200321084614284,1785200321084616247,1
0x98fe50a7,2,1785200321087279249,1785200321087281286,2
0x98ffeff4,2,1785200321090243823,1785200321090245878,2
0x98ff9528,2,1785200321091407871,1785200321091410019,2
0x800c7ff7,2,1785200321092671807,1785200321092673751,1
0x800001f2,2,1785200321093035601,1785200321093037527,1
0x98fd50a7,2,1785200321093398988,1785200321093400988,2
0x98ff28a7,2,1785200321093416617,1785200321093418524,1
