Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346309099729099,1764346309099166260,562.839
1764346309101818514,1764346309099445725,2372.79
1764346309104003973,1764346309101606948,2397.03
1764346309106242277,1764346309103581946,2660.33
1764346309108344211,1764346309105997387,2346.82
1764346309110427511,1764346309109163983,1263.53
1764346309112635079,1764346309109985878,2649.2
1764346309114716735,1764346309112119605,2597.13
1764346309116793349,1764346309114512049,2281.3
1764346309118940117,1764346309116479298,2460.82
1764346309121177472,1764346309119162705,2014.77
1764346309123302398,1764346309120635517,2666.88
1764346309125398745,1764346309123033211,2365.53
1764346309127701623,1764346309125010958,2690.66
1764346309129704312,1764346309127421900,2282.41
1764346309131724183,1764346309129184925,2539.26
1764346309133893004,1764346309131603116,2289.89
1764346309136044605,1764346309133579863,2464.74
1764346309138096853,1764346309135567859,2528.99
1764346309140218866,1764346309139161400,1057.47
1764346309142388232,1764346309139898806,2489.43
1764346309144482496,1764346309142086776,2395.72
1764346309146750173,1764346309144471471,2278.7
1764346309148761887,1764346309146423222,2338.66
1764346309150939193,1764346309149158872,1780.32
1764346309153106676,1764346309150661680,2445
1764346309155198648,1764346309152637928,2560.72
1764346309157388580,1764346309154996126,2392.45
1764346309159476833,1764346309156921380,2555.45
1764346309161639714,1764346309159171093,2468.62
1764346309163685202,1764346309161147340,2537.86
1764346309165785903,1764346309163459795,2326.11
1764346309167972446,1764346309165409046,2563.4
1764346309170060171,1764346309169155817,904.354
1764346309172256534,1764346309169657503,2599.03
1764346309174280672,1764346309172071195,2209.48
1764346309176665736,1764346309174076938,2588.8
1764346309178586958,1764346309176433637,2153.32
1764346309180811148,1764346309179083049,1728.1
1764346309182818870,1764346309180528114,2290.76
1764346309185123845,1764346309182460617,2663.23
1764346309187139953,1764346309184876808,2263.14
1764346309189262251,1764346309186857805,2404.45
1764346309191478056,1764346309189155262,2322.79
1764346309193591892,1764346309191099013,2492.88
1764346309195743970,1764346309193512455,2231.51
1764346309197685857,1764346309195439209,2246.65
1764346309199858842,1764346309199151234,707.608
1764346309202056701,1764346309199662419,2394.28
1764346309204088464,1764346309202054364,2034.1
1764346309206305086,1764346309203970119,2334.97
1764346309208377116,1764346309205960114,2417
1764346309210581438,1764346309209145957,1435.48
1764346309212704575,1764346309210194323,2510.25
1764346309214799793,1764346309212542773,2257.02
1764346309216973781,1764346309214503023,2470.76
1764346309219099056,1764346309216883469,2215.59
1764346309221272631,1764346309219162427,2110.2
1764346309223303391,1764346309221089681,2213.71
1764346309225519590,1764346309223047681,2471.91
1764346309227533311,1764346309225423877,2109.43
1764346309229760489,1764346309229072161,688.328
1764346309231875593,1764346309229352875,2522.72
1764346309234103582,1764346309231539596,2563.99
1764346309236038420,1764346309233972535,2065.89
1764346309238205852,1764346309235899789,2306.06
1764346309240425909,1764346309239145124,1280.79
1764346309242507168,1764346309240141497,2365.67
1764346309244648939,1764346309242118744,2530.2
1764346309246716608,1764346309244501440,2215.17
1764346309248939867,1764346309246469188,2470.68
1764346309251051020,1764346309249141597,1909.42
1764346309253105216,1764346309250632156,2473.06
1764346309255262271,1764346309253019851,2242.42
1764346309257424011,1764346309254991599,2432.41
1764346309259492140,1764346309257400542,2091.6
1764346309261764703,1764346309259165816,2598.89
1764346309263717908,1764346309261564759,2153.15
1764346309265927004,1764346309263517760,2409.24
1764346309268066035,1764346309265961448,2104.59
1764346309270227850,1764346309269140291,1087.56
1764346309272371096,1764346309269880197,2490.9
1764346309274490895,1764346309272073167,2417.73
1764346309276553035,1764346309274045915,2507.12
1764346309278661659,1764346309276411362,2250.3
1764346309280945542,1764346309279031528,1914.01
1764346309283096936,1764346309280504089,2592.85
1764346309285095088,1764346309282898783,2196.3
1764346309287194849,1764346309284860033,2334.82
1764346309289333648,1764346309286843529,2490.12
1764346309291547075,1764346309289138486,2408.59
1764346309293600697,1764346309291102985,2497.71
1764346309295683202,1764346309293511177,2172.03
1764346309297820571,1764346309295492674,2327.9
1764346309299957176,1764346309299132709,824.467
1764346309302114785,1764346309299665141,2449.64
1764346309304340817,1764346309302063835,2276.98
1764346309306484254,1764346309304025084,2459.17
1764346309308644349,1764346309306023829,2620.52
1764346309310732823,1764346309309130682,1602.14
1764346309312733261,1764346309310571498,2161.76
1764346309314970365,1764346309312524498,2445.87
1764346309317043961,1764346309314950938,2093.02
1764346309319147110,1764346309316855695,2291.41
1764346309321424387,1764346309319133154,2291.23
1764346309323575685,1764346309321089154,2486.53
1764346309325768203,1764346309323070900,2697.3
1764346309327748885,1764346309325426849,2322.04
1764346309329848097,1764346309329077133,770.964
1764346309331911060,1764346309329585568,2325.49
1764346309334019531,1764346309331581563,2437.97
1764346309336195803,1764346309333960259,2235.54
1764346309338372353,1764346309335919009,2453.34
1764346309340695668,1764346309339126099,1569.57
1764346309342634768,1764346309340140969,2493.8
1764346309344752059,1764346309342529401,2222.66
1764346309346935780,1764346309344469142,2466.64
1764346309348962334,1764346309346897818,2064.52
1764346309351222571,1764346309349123521,2099.05
1764346309353248435,1764346309351056513,2191.92
